"Sample Name"	"Protocol REF"	"Parameter Value[QA Instrument]"	"Parameter Value[QA Assay]"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Assay Name"	"Array Design REF"	"Protocol REF"	"Array Data File"	"Protocol REF"	"Parameter Value[RMA Calls File]"	"Term Source REF"	"Term Accession Number"	"Derived Array Data File"
"GSM2412681"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412681 Extract"	"labeling"	"GSM2412681 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412681 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412681_1A_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412681_1A_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412681_1A_532_norm_RMA.pair.gz"
"GSM2412682"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412682 Extract"	"labeling"	"GSM2412682 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412682 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412682_1B_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412682_1B_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412682_1B_532_norm_RMA.pair.gz"
"GSM2412683"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412683 Extract"	"labeling"	"GSM2412683 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412683 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412683_1C_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412683_1C_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412683_1C_532_norm_RMA.pair.gz"
"GSM2412684"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412684 Extract"	"labeling"	"GSM2412684 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412684 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412684_2A_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412684_2A_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412684_2A_532_norm_RMA.pair.gz"
"GSM2412685"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412685 Extract"	"labeling"	"GSM2412685 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412685 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412685_2B_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412685_2B_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412685_2B_532_norm_RMA.pair.gz"
"GSM2412686"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412686 Extract"	"labeling"	"GSM2412686 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412686 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412686_2C_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412686_2C_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412686_2C_532_norm_RMA.pair.gz"
"GSM2412687"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412687 Extract"	"labeling"	"GSM2412687 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412687 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412687_3A_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412687_3A_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412687_3A_532_norm_RMA.pair.gz"
"GSM2412688"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412688 Extract"	"labeling"	"GSM2412688 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412688 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412688_3B_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412688_3B_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412688_3B_532_norm_RMA.pair.gz"
"GSM2412689"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412689 Extract"	"labeling"	"GSM2412689 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412689 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412689_3C_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412689_3C_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412689_3C_532_norm_RMA.pair.gz"
"GSM2412690"	"RNA extraction"	"ND-1000, Nanodrop Technologies"	"gel electrophoresis"	"GSM2412690 Extract"	"labeling"	"GSM2412690 Labeled Extract"	"Cy3 dye"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_37987"	"nucleic acid hybridization"	"GSM2412690 Hybridization"	"GLDS-167_microarray_GPL22731-tbl-1.txt"	"data collection"	"GLDS-167_microarray_GSM2412690_4A_532.pair.gz"	"normalization data transformation"	"GLDS-167_microarray_GSM2412690_4A_532_RMA.calls.gz"	""	""	"GLDS-167_microarray_GSM2412690_4A_532_norm_RMA.pair.gz"
